Molecule,Name,Dipole,SMILES
H2,Hydrogen diatomic,0.000,[H][H]
D2,Deuterium diatomic,0.000,[2H][2H]
LiH,Lithium Hydride,5.880,[H-].[Li+]
Li2,Lithium diatomic,0.000,[Li][Li]
Be2,Beryllium diatomic,0.000,[Be][Be]
CH,Methylidyne,1.460,[CH]
C2,Carbon diatomic,0.000,[C][C]
NH+,imidogen cation,1.477,[NH2+]
CN,Cyano radical,1.450,[C]#N
N2,Nitrogen diatomic,0.000,N#N
OH,Hydroxyl radical,1.668,[OH]
LiO,lithium oxide,6.843,[Li+].[Li+].[O-2]
CO,Carbon monoxide,1.375,[C-]#[O+]
NO,Nitric oxide,0.159,[N]=O
O2,Oxygen diatomic,0.000,O=O
HF,Hydrogen fluoride,1.827,F
LiF,lithium fluoride,6.284,[F-].[Li+]
BF,Boron monofluoride,0.500,[B]F
CF,Fluoromethylidyne,0.645,CF
NF,nitrogen fluoride,0.370,FN(F)F
FO,Oxygen monofluoride,0.004,[O]F
F2,Fluorine diatomic,0.000,FF
NaH,sodium hydride,6.400,[H-].[Na+]
NaLi,lithium sodium,0.460,[Li+].[Na+]
Na2,Sodium diatomic,0.000,[Na][Na]
NaF,sodium fluoride,8.123,[F-].[Na+]
Mg2,Magnesium diatomic,0.000,[Mg][Mg]
Al2,Aluminum diatomic,0.000,[Al][Al]
Si2,Silicon diatomic,0.000,[Si][Si]
SiO,Silicon monoxide,3.088,O=[Si]
P2,Phosphorus diatomic,0.000,PP
PN,Phosphorus mononitride,2.751,N#P
PO,Phosphorus monoxide,1.880,O=[P]
HS,Mercapto radical,0.758,[SH]
DS,Mercapto-d,0.757,[1H][S]
CS,carbon monosulfide,1.958,[C-]#[S+]
NS,Mononitrogen monosulfide,1.810,[N]=S
SO,Sulfur monoxide,1.550,O=S
S2,Sulfur diatomic,0.000,SS
HCl,Hydrogen chloride,1.093,Cl
NaCl,Sodium Chloride,8.971,[Cl-].[Na+]
LiCl,lithium chloride,7.085,[Cl-].[Li+]
ClO,Monochlorine monoxide,1.239,[O]Cl
ClF,Chlorine monofluoride,0.880,FCl
Cl2,Chlorine diatomic,0.000,ClCl
NaK,Sodium Potassium,2.667,[K].[Na]
LiK,Lithium Potassium,3.450,[K+].[Li+]
KF,Potassium Fluoride,8.558,[F-].[K+]
KCl,Potassium Chloride,10.239,[Cl-].[K+]
CuO,Copper Monoxide,4.500,[Cu+2].[O-2]
CuF,Copper monofluoride,5.770,[F][Cu]
GaF,Gallium monofluoride,2.450,[F][Ga]
GeO,Germanium monoxide,3.272,[O]=[Ge]
GeS,Germanium monosulfide,2.000,[S]=[Ge]
HSe,Selenium monohydride,0.490,[SeH]
GeSe,Germanium monoselenide,1.648,[Ge].[Se-2]
HBr,hydrogen bromide,0.827,Br
LiBr,Lithium Bromide,7.226,[Br-].[Li+]
NaBr,Sodium Bromide,9.092,[Br-].[Na+]
KBr,Potassium Bromide,10.603,[Br-].[K+]
BrO,Bromine monoxide,1.610,[O]Br
BrCl,Bromine monochloride,0.519,ClBr
BrF,Bromine monofluoride,1.422,FBr
Br2,Bromine diatomic,0.000,BrBr
HI,Hydrogen iodide,0.448,I
LiI,Lithium Iodide,7.429,[I-].[Li+]
KI,Potassium Iodide,10.820,[I-].[K+]
NaI,Sodium Iodide,9.236,[I-].[Na+]
I2,Iodine diatomic,0.000,II
IBr,Iodine monobromide,0.737,BrI
ICl,Iodine monochloride,1.207,ClI
IF,Iodine monofluoride,1.948,FI
BeH2,beryllium dihydride,0.000,[Be+2].[H-].[H-]
HNC,hydrogen isocyanide,3.050,[C-]#[NH+]
HCN,Hydrogen cyanide,2.980,C#N
H2O,Water,1.857,O
D2O,Deuterium oxide,1.855,[2H]O[2H]
HDO,Water-d1,1.852,[2H]O
LiOH,lithium hydroxide,4.755,[Li+].[OH-]
HCO+,Formyl cation,2.916,C#[O+]
HNO,Nitrosyl hydride,1.670,N=O
BO2,Boron dioxide,0.000,[O-][B][OH2+]
NCO,isocyanato radical,0.640,[N]=C=O
N2O,Nitrous oxide,0.161,[N-]=[N+]=O
CO2,Carbon dioxide,0.000,O=C=O
NO2,Nitrogen dioxide,0.316,[O]N=O
O3,Ozone,0.530,O=[O+][O-]
HOF,Hypofluorous acid,2.230,OF
FCN,Cyanogen fluoride,2.170,N#CF
CF2,Difluoromethylene,0.469,F[C]F
FNO,Nitrosyl fluoride,1.810,O=NF
NF2,Difluoroamino radical,0.136,F[N]F
F2O,Difluorine monoxide,0.297,FOF
MgH2,magnesium dihydride,0.000,
SiC2,Silicon dicarbide,2.393,C1#C[SiH2]1
SiO2,silicon dioxide,0.000,O=[Si]=O
SiF2,Silicon difluoride,1.230,F[SiH2]F
HCP,Phosphaethyne,0.390,C#P
H2S,Hydrogen sulfide,0.977,S
HBS,hydrogen boron sulfide,1.298,[BH]=S
OCS,Carbonyl sulfide,0.715,O=C=S
CS2,Carbon disulfide,0.000,S=C=S
SSO,Disulfur monoxide,1.470,O=S=S
FSN,Thiazyl fluoride,1.902,N#SF
SO2,Sulfur dioxide,1.633,O=S=O
SF2,sulfur difluoride,1.050,FSF
HOCl,hypochlorous acid,1.507,OCl
ClCN,chlorocyanogen,2.820,N#CCl
ClNO,Nitrosyl chloride,1.866,O=NCl
OClO,Chlorine dioxide,1.792,[O][Cl+][O-]
