Molecule,Name,Dipole
H2,Hydrogen diatomic,0.000
D2,Deuterium diatomic,0.000
LiH,Lithium Hydride,5.880
Li2,Lithium diatomic,0.000
Be2,Beryllium diatomic,0.000
BH,Boron monohydride,1.270
CH,Methylidyne,1.460
C2,Carbon diatomic,0.000
NH+,imidogen cation,1.477
CN,Cyano radical,1.450
N2,Nitrogen diatomic,0.000
OH,Hydroxyl radical,1.668
LiO,lithium oxide,6.843
CO,Carbon monoxide,1.375
NO,Nitric oxide,0.159
O2-,oxygen diatomic anion,
O2,Oxygen diatomic,0.000
HF,Hydrogen fluoride,1.827
LiF,lithium fluoride,6.284
BF,Boron monofluoride,0.500
CF,Fluoromethylidyne,0.645
NF,nitrogen fluoride,0.370
FO,Oxygen monofluoride,0.004
F2,Fluorine diatomic,0.000
NaH,sodium hydride,6.400
NaLi,lithium sodium,0.460
Na2,Sodium diatomic,0.000
NaF,sodium fluoride,8.123
Mg2,Magnesium diatomic,0.000
Al2,Aluminum diatomic,0.000
AlF,Aluminum monofluoride,1.530
Si2,Silicon diatomic,0.000
SiO,Silicon monoxide,3.088
P2,Phosphorus diatomic,0.000
PN,Phosphorus mononitride,2.751
PO,Phosphorus monoxide,1.880
HS,Mercapto radical,0.758
DS,Mercapto-d,0.757
SiS,silicon monosulfide,1.730
CS,carbon monosulfide,1.958
NS,Mononitrogen monosulfide,1.810
SO,Sulfur monoxide,1.550
S2,Sulfur diatomic,0.000
SF,Monosulfur monofluoride,0.794
HCl,Hydrogen chloride,1.093
NaCl,Sodium Chloride,8.971
LiCl,lithium chloride,7.085
ClO,Monochlorine monoxide,1.239
ClF,Chlorine monofluoride,0.880
Cl2,Chlorine diatomic,0.000
ArH+,Argon hydride cation,2.840
NaK,Sodium Potassium,2.667
LiK,Lithium Potassium,3.450
KF,Potassium Fluoride,8.558
KCl,Potassium Chloride,10.239
CaCl,calcium monochloride,4.265
ScH,Scandium monohydride,1.740
CuO,Copper Monoxide,4.500
CuF,Copper monofluoride,5.770
GaF,Gallium monofluoride,2.450
GeO,Germanium monoxide,3.272
GeS,Germanium monosulfide,2.000
HSe,Selenium monohydride,0.490
GeSe,Germanium monoselenide,1.648
SeO,Selenium monoxide,2.010
SeF,Selenium monofluoride,1.520
HBr,hydrogen bromide,0.827
LiBr,Lithium Bromide,7.226
NaBr,Sodium Bromide,9.092
KBr,Potassium Bromide,10.603
BrO,Bromine monoxide,1.610
BrCl,Bromine monochloride,0.519
BrF,Bromine monofluoride,1.422
Br2,Bromine diatomic,0.000
HI,Hydrogen iodide,0.448
LiI,Lithium Iodide,7.429
KI,Potassium Iodide,10.820
NaI,Sodium Iodide,9.236
I2,Iodine diatomic,0.000
IBr,Iodine monobromide,0.737
ICl,Iodine monochloride,1.207
IF,Iodine monofluoride,1.948
BeH2,beryllium dihydride,0.000
C3,carbon trimer,0.000
HNC,hydrogen isocyanide,3.050
HCN,Hydrogen cyanide,2.980
H2O,Water,1.857
μ0 = 1.85498,,
μν1ν2ν3 = -1.8570 - 0.051(ν1+0.5) + 0.0317(ν2+0.5) - 0.0225(ν3+0.5),,
D2O,Deuterium oxide,1.855
HDO,Water-d1,1.852
LiOH,lithium hydroxide,4.755
HCO+,Formyl cation,2.916
HNO,Nitrosyl hydride,1.670
BO2,Boron dioxide,0.000
NCO,isocyanato radical,0.640
N2O,Nitrous oxide,0.161
CO2,Carbon dioxide,0.000
NO2,Nitrogen dioxide,0.316
O3,Ozone,0.530
HOF,Hypofluorous acid,2.230
FCN,Cyanogen fluoride,2.170
CF2,Difluoromethylene,0.469
FNO,Nitrosyl fluoride,1.810
NF2,Difluoroamino radical,0.136
F2O,Difluorine monoxide,0.297
MgH2,magnesium dihydride,0.000
SiC2,Silicon dicarbide,2.393
SiO2,silicon dioxide,0.000
SiF2,Silicon difluoride,1.230
HCP,Phosphaethyne,0.390
H2S,Hydrogen sulfide,0.977
HBS,hydrogen boron sulfide,1.298
OCS,Carbonyl sulfide,0.715
CS2,Carbon disulfide,0.000
SSO,Disulfur monoxide,1.470
FSN,Thiazyl fluoride,1.902
SO2,Sulfur dioxide,1.633
μe=1.62673,,
SF2,sulfur difluoride,1.050
HCCl,Chloromethylene,
HOCl,hypochlorous acid,1.507
ClCN,chlorocyanogen,2.820
ClNO,Nitrosyl chloride,1.866
OClO,Chlorine dioxide,1.792
SCl2,Sulfur dichloride,0.360
TiO2,Titanium dioxide,6.330
GeF2,Germanium difluoride,2.610
H2Se,Hydrogen selenide,0.627
SCSe,Carbon sulfide selenide,0.031
OCSe,Carbonyl selenide,0.754
SeO2,Selenium dioxide,2.620
HOBr,Hypobromous acid,1.384
SCTe,Carbon sulfide Telluride,0.172
BH3,boron trihydride,0.000
CH3,Methyl radical,0.000
C2H2,Acetylene,0.000
NH3,Ammonia,1.476
N2H2,(E)-diazene,0.000
HN3,hydrogen azide,1.700
C2N2,Cyanogen,0.000
H2CO,Formaldehyde,2.332
H2O2,Hydrogen peroxide,1.770
HNCO,Isocyanic acid,
HCNO,fulminic acid,3.060
B2O2,Diboron dioxide,0.000
NH2F,monofluoroamine,2.270
HCCF,Fluoroacetylene,0.730
HFCO,formyl fluoride,2.081
BHF2,Difluoroborane,0.971
NHF2,difluoramine,1.920
FNO2,Nitryl fluoride,0.466
N2F2,(Z)-Difluorodiazene,0.160
BF3,"Borane, trifluoro-",0.000
CF2O,Carbonic difluoride,0.950
CF3,Trifluoromethyl radical,0.430
FOOF,Perfluoroperoxide,1.440
NF3,Nitrogen trifluoride,0.235
AlH3,aluminum trihydride,0.000
AlF3,Aluminum trifluoride,0.000
SiF3,Silicon trifluoride radical,1.200
PH3,Phosphine,0.580
P4,Phosphorus tetramer,0.000
PF3,Phosphorus trifluoride,1.030
H2CS,Thioformaldehyde,1.647
H2S2,Disulfane,1.170
SO3,Sulfur trioxide,0.000
FSSF,Difluorodisulfane,1.450
S2F2,Thio-thionyl fluoride,1.030
HCCCl,Chloroacetylene,0.440
Cl2CS,Thiophosgene,0.290
CCl2O,Phosgene,1.170
ClNO2,Nitryl chloride,0.530
BCl3,"Borane, trichloro-",0.000
AlCl3,Aluminum trichloride,0.000
SOCl2,thionyl chloride,1.450
PCl3,Phosphorus trichloride,0.560
NCl3,nitrogen trichloride,0.390
ClSSCl,Disulfur dichloride,1.600
ClF3,Chlorine trifluoride,0.600
AsH3,Arsine,0.200
AsCl3,Arsenous trichloride,1.590
AsF3,Arsenic trifluoride,2.590
H2CSe,Selenoformaldehyde,1.410
HCCBr,bromoacetylene,0.230
PBr3,Phosphorus tribromide,0.610
BrF3,Bromine trifluoride,1.000
CH4,Methane,0.000
CH2NH,Methanimine,2.000
CH2NN,diazomethane,1.500
NH2CN,cyanamide,4.320
HNCNH,diiminomethane,1.900
CH2N2,diazirine,1.590
HCCCN,Cyanoacetylene,3.720
NH2OH,hydroxylamine,0.590
CH2CO,Ketene,1.420
CH2O2,Dioxirane,2.479
HCOOH,Formic acid,3.790
HNO3,Nitric acid,2.170
C3O2,Carbon suboxide,0.000
N2O3,Dinitrogen trioxide,2.122
CH3F,Methyl fluoride,1.847
CH2F2,"Methane, difluoro-",1.970
CHF3,"Methane, trifluoro-",1.645
CF4,Carbon tetrafluoride,0.000
SiH4,Silane,0.000
SiH3F,monofluorosilane,1.297
SiH2F2,difluorosilane,1.540
SiHF3,trifluorosilane,1.359
SiF4,Silicon tetrafluoride,0.000
CH2PH,Phosphaethene,0.869
F3PO,Phosphoryl fluoride,1.760
NH2SH,Thiohydroxylamine,2.005
CH2CS,Thioketene,1.020
SO2F2,Sulfuryl fluoride,1.120
SF4,Sulfur tetrafluoride,0.632
SiH3Cl,chlorosilane,1.310
CH3Cl,Methyl chloride,1.870
CH2Cl2,Methylene chloride,1.620
CH2FCl,fluorochloromethane,1.820
SiH2Cl2,dichlorosilane,1.130
SiHCl3,Trichlorosilane,0.860
CHF2Cl,difluorochloromethane,1.420
CHFCl2,fluorodichloromethane,1.290
CHCl3,Chloroform,1.040
ClONO2,Chlorine nitrate,0.772
SO2Cl2,Sulfuryl chloride,1.810
Cl3PO,Phosphoryl chloride,2.540
SiCl4,"Silane, tetrachloro-",0.000
ClFO3,Perchloryl fluoride,0.023
CCl4,Carbon tetrachloride,0.000
CFCl3,Trichloromonofluoromethane,0.460
CF2Cl2,difluorodichloromethane,0.510
CF3Cl,"Methane, chlorotrifluoro-",0.500
GeH4,Germane,0.000
GeH3F,monofluorogermane,2.330
GeH3Cl,monochlorogermane,2.130
SeF4,Selenium tetrafluoride,1.779
SiH3Br,bromosilane,1.319
CH3Br,methyl bromide,1.810
CH2Br2,dibromomethane,1.430
CH2BrF,"Methane, bromofluoro-",1.739
CHFClBr,fluorochlorobromomethane,1.500
CHBr3,bromoform,0.990
CHBrF2,"Methane, bromodifluoro-",1.500
CBr2F2,"Methane, dibromodifluoro-",0.660
CF3Br,Bromotrifluoromethane,0.639
CBr4,Carbon tetrabromide,0.000
CH3I,methyl iodide,1.620
CH2FI,fluoroiodomethane,1.599
CF3I,trifluoroiodomethane,1.048
C2H4,Ethylene,0.000
C4H2,Diacetylene,0.000
BH2NH2,Boranamine,1.844
N2H4,Hydrazine,1.750
CH3NC,methyl isocyanide,3.850
CH3CN,Acetonitrile,3.919
H2CCNH,Ethenimine,1.438
CH3OH,Methyl alcohol,1.672
BH3CO,Borane carbonyl,1.698
CH3NO,nitrosomethane,2.320
CHONH2,formamide,3.730
CH2NOH,formaldoxime,0.440
NH2NO2,nitramide,
C2H2CO,cyclopropenone,4.390
